,监测点编码,监测点名称,城市,经度,纬度
0,2628A,那曲监测站,那曲地区,92.0657,31.4846
1,1196A,市监测站,常州,119.996,31.7586
2,3185A,巨轮,太原,112.5628,37.8964
3,1774A,电力学院,吉林,126.4978,43.8228
4,1068A,开发区,廊坊,116.7729,39.5747
5,3057A,牟平检察院,烟台,121.5992,37.4014
6,3635A,河科大西苑校区,洛阳,112.3677,34.662
7,3507A,职业技术学院,日照,119.5328,35.4625
8,1001A,万寿西宫,北京,116.366,39.8673
9,2075A,九湖,漳州,117.6336,24.4674
10,2327A,洋溪,三明,117.7275,26.3108
11,2653A,雷台,武威,102.6469,37.9358
12,1473A,曲江文化产业集团,西安,108.985,34.1978
13,2273A,蚌埠学院,蚌埠,117.4186,32.8913
14,2525A,南坝,广元,105.8153,32.4246
15,3599A,书院路,重庆,106.2649,29.9851
16,1093A,糖厂,呼和浩特,111.608,40.8144
17,1345A,广雅中学,广州,113.235,23.1422
18,1671A,园林处,韶关,113.598061,24.795928
19,1923A,王益区政府,铜川,109.0697,35.0697
20,2997A,王营,泰州,119.8767,32.3292
21,1217A,文峰中学,盐城,120.129,33.3719
22,1291A,省林业公司,南昌,115.8886,28.6839
23,3532A,玉林师范学院东校区,玉林,110.1945,22.6831
24,2869A,五台山医院,扬州,119.458,32.41361
25,1689A,高岭,茂名,110.8592,21.6828
26,1415A,高家花园,重庆,106.46,29.5736
27,3404A,北职校,钦州,108.5959,21.9633
28,2489A,市委党校,娄底,112.0194,27.7314
29,2550A,凤凰小区,达州,107.4967,31.2108
30,1887A,沙坪中学,宜宾,104.6789,28.7989
31,2170A,市二中,朔州,112.4279,39.3673
32,2422A,天方二分厂　,驻马店,113.996,32.996
33,1759A,大伙房水库,抚顺,124.0878,41.8864
34,3496A,南坊新区,临沂,118.3604,35.1084
35,1820A,银杏小区,安阳,114.358,36.087
36,3368A,高新实验学校,潍坊,119.1977,36.6872
37,2620A,古城,迪庆州,99.7064,27.8136
38,1114A,七贤岭,大连,121.51805556,38.856111111
39,3694A,延庆石河营,北京,115.986,40.4563
40,2188A,中海勃湾学校,乌海,106.7931,39.6572
41,1440A,市环保站,贵阳,106.6971,26.5689
42,1060A,世纪豪园,张家口,114.9032,40.7688
43,1312A,市南区西部子站,青岛,120.2992,36.0543
44,3301A,黄埔科学城,广州,113.4256,23.1716
45,2386A,市交警支队,鹤壁,114.2956,35.7511
46,2638A,红石峡森林公园　,榆林,109.7414,38.3344
47,1784A,环保大楼　,牡丹江,129.61,44.561
48,2258A,十一中,佳木斯,130.3648,46.8032
49,1078A,邢师高专,邢台,114.5261,37.0533
50,1656A,监测站,泰安,117.1436,36.1942
51,1908A,高坪区监测站,南充,106.1064,30.7856
52,1982A,文登市丝绸公司,文登,122.019,37.187
53,1276A,瑶海区,合肥,117.336,31.8585
54,3265A,宝山庙行,上海,121.4316,31.3322
55,3591A,上街区政府,郑州,113.30952,34.803229
56,3137A,市委党校,眉山,103.8578,30.0744
57,3463A,社会福利中心,宿州,116.9708,33.591
58,3715A,蚌埠田家炳中学,蚌埠,117.3092,32.9314
59,2283A,烈山区政府,淮北,116.8067,33.8997
60,2535A,乐山大佛景区,乐山,103.7705,29.5467
61,1681A,市环境监测站,湛江,110.3928,21.2228
62,3009A,矿山设计院,连云港,119.1478,34.5911
63,3335A,马村街道办,焦作,113.3137,35.2641
64,2407A,理工学院,南阳,112.55,32.9683
65,2481A,冷水滩区环保局,永州,111.5989,26.4519
66,1805A,西园,九江,115.988,29.7292
67,2605A,州环境监测站,楚雄州,101.5482,25.0441
68,1173A,市环境监测站,连云港,119.176,34.5885
69,1425A,空港,重庆,106.617,29.7125
70,2499A,沙万,防城港,108.3411,21.6158
71,1751A,铁西三道街,鞍山,122.9642,41.0971
72,1897A,大塘山,自贡,104.7547,29.3628
73,1045A,市政府,秦皇岛,119.607,39.9358
74,3034A,光明街小学,乌兰察布,113.1076,41.0385
75,1623A,黑马集团,德州,116.2729,37.4504
76,3360A,南湖救助站,自贡,104.7894,29.3194
77,3612A,白碱滩区新站,克拉玛依,85.1045,45.6899
78,2697A,市人民政府,克州,76.1861,39.7153
79,2180A,机引,忻州,112.7356,38.4186
80,1769A,百股街道,锦州,121.2008,41.1219
81,2304A,监测楼,宿州,116.9765,33.6481
82,1389A,莞城梨川,东莞,113.7480556,23.06
83,2630A,阿里监测站,阿里地区,80.1161,32.5
84,1967A,胶州环保局,胶州,120.008,36.283
85,2250A,环保局,双鸭山,131.1516,46.6462
86,2502A,市环保站,钦州,108.6236,21.9667
87,1839A,四零三,宜昌,111.3009,30.7157
88,3576A,丰润区政府,唐山,118.1562,39.8322
89,1070A,北华航天学院,廊坊,116.7464,39.5343
90,1322A,市监测站,郑州,113.5991,34.7496
91,2396A,监测站,许昌,113.8331,34.0117
92,1900A,春华路,自贡,104.7692,29.3411
93,3448A,横琴,珠海,113.5433,22.1163
94,2268A,环保局,大兴安岭地区,124.1186,50.4269
95,1520A,火车站,株洲,113.143,27.8381
96,2594A,市环境监测站,保山,99.1678,25.1081
97,2846A,体育西,广州,113.3208,23.1323
98,1992A,菱塘子站,常熟,120.734,31.656
99,2466A,市环保局,邵阳,111.4328,27.2272
100,1286A,溪东,厦门,118.15694444,24.818055556
101,1864A,龙隐路小学,桂林,110.3089,25.2708
102,1158A,奥体中心,南京,118.737,32.0092
103,1484A,贺兰山马莲口,银川,105.9512,38.6016
104,1736A,市委,临汾,111.5025,36.0875
105,3473A,技师学院,开封,114.2485,34.8306
106,3019A,西沙,三沙,,
107,1608A,化工街,葫芦岛,120.8392,40.7514
